layer,cosine,vision_num_samples,hallu_num_samples
0,0.133489,500,375
1,0.013848,500,375
2,-0.041485,500,375
3,0.045615,500,375
4,-0.009182,500,375
5,-0.049960,500,375
6,0.032928,500,375
7,-0.040432,500,375
8,0.009653,500,375
9,-0.029458,500,375
10,-0.099012,500,375
11,-0.110467,500,375
12,-0.090487,500,375
13,-0.131251,500,375
14,-0.126248,500,375
15,-0.137468,500,375
16,-0.089337,500,375
17,-0.089154,500,375
18,-0.048238,500,375
19,-0.067699,500,375
20,-0.059930,500,375
21,-0.040091,500,375
22,-0.037600,500,375
23,-0.048244,500,375
24,-0.017071,500,375
25,0.007567,500,375
26,0.036233,500,375
27,0.023624,500,375
28,0.053947,500,375
29,0.077885,500,375
30,0.071300,500,375
31,-0.120618,500,375
